invoice_no,product_id,date_id,Quantity,Revenue
536365,85123A,2010-12-01,6,15.299999999999999
536365,71053,2010-12-01,6,20.34
536365,84406B,2010-12-01,8,22.0
536365,84029G,2010-12-01,6,20.34
536365,84029E,2010-12-01,6,20.34
536365,22752,2010-12-01,2,15.3
536365,21730,2010-12-01,6,25.5
536366,22633,2010-12-01,6,11.100000000000001
536366,22632,2010-12-01,6,11.100000000000001
536367,22745,2010-12-01,6,12.600000000000001
536367,22748,2010-12-01,6,12.600000000000001
536367,22749,2010-12-01,8,30.0
536367,22310,2010-12-01,6,9.899999999999999
536367,84969,2010-12-01,6,25.5
536367,22623,2010-12-01,3,14.850000000000001
536367,21754,2010-12-01,3,17.85
536367,21755,2010-12-01,3,17.85
536367,21777,2010-12-01,4,31.8
536367,48187,2010-12-01,4,31.8
536368,22960,2010-12-01,6,25.5
536368,22913,2010-12-01,3,14.850000000000001
536368,22912,2010-12-01,3,14.850000000000001
536368,22914,2010-12-01,3,14.850000000000001
536369,21756,2010-12-01,3,17.85
536370,22728,2010-12-01,24,90.0
536370,22727,2010-12-01,24,90.0
536370,22726,2010-12-01,12,45.0
536370,21724,2010-12-01,12,10.2
536370,21883,2010-12-01,24,15.600000000000001
536370,21791,2010-12-01,24,30.0
536370,21035,2010-12-01,18,53.1
536370,22326,2010-12-01,24,70.80000000000001
536370,22629,2010-12-01,24,46.8
536370,22659,2010-12-01,24,46.8
536370,22631,2010-12-01,24,46.8
536370,22661,2010-12-01,20,17.0
536370,21731,2010-12-01,24,39.599999999999994
536370,22900,2010-12-01,24,70.80000000000001
536370,21913,2010-12-01,12,45.0
536370,22540,2010-12-01,24,10.08
536370,22544,2010-12-01,24,10.08
536372,22632,2010-12-01,6,11.100000000000001
536372,22633,2010-12-01,6,11.100000000000001
536373,85123A,2010-12-01,6,15.299999999999999
536373,71053,2010-12-01,6,20.34
536373,84406B,2010-12-01,8,22.0
536373,20679,2010-12-01,6,29.700000000000003
536373,37370,2010-12-01,6,6.36
536373,21871,2010-12-01,6,6.36
536373,21071,2010-12-01,6,6.36
536373,21068,2010-12-01,6,6.36
536373,82483,2010-12-01,2,9.9
536373,82486,2010-12-01,4,27.8
536373,82482,2010-12-01,6,12.600000000000001
536373,82494L,2010-12-01,6,15.299999999999999
536373,84029G,2010-12-01,6,20.34
536373,84029E,2010-12-01,6,20.34
536373,22752,2010-12-01,2,15.3
536373,21730,2010-12-01,6,25.5
536375,85123A,2010-12-01,6,15.299999999999999
536375,71053,2010-12-01,6,20.34
536375,84406B,2010-12-01,8,22.0
536375,20679,2010-12-01,6,29.700000000000003
536375,37370,2010-12-01,6,6.36
536375,21871,2010-12-01,6,6.36
536375,21071,2010-12-01,6,6.36
536375,21068,2010-12-01,6,6.36
536375,82483,2010-12-01,2,9.9
536375,82486,2010-12-01,4,27.8
536375,82482,2010-12-01,6,12.600000000000001
536375,82494L,2010-12-01,6,15.299999999999999
536375,84029G,2010-12-01,6,20.34
536375,84029E,2010-12-01,6,20.34
536375,22752,2010-12-01,2,15.3
536375,21730,2010-12-01,6,25.5
536377,22632,2010-12-01,6,11.100000000000001
536377,22633,2010-12-01,6,11.100000000000001
536378,22386,2010-12-01,10,19.5
536378,85099C,2010-12-01,10,19.5
536378,21033,2010-12-01,10,29.5
536378,20723,2010-12-01,10,8.5
536378,84997B,2010-12-01,12,45.0
536378,84997C,2010-12-01,6,22.5
536378,21094,2010-12-01,12,10.2
536378,20725,2010-12-01,10,16.5
536378,21559,2010-12-01,6,15.299999999999999
536378,22352,2010-12-01,6,15.299999999999999
536378,21975,2010-12-01,24,13.200000000000001
536378,21977,2010-12-01,24,13.200000000000001
536378,84991,2010-12-01,24,13.200000000000001
536378,84519A,2010-12-01,6,17.700000000000003
536378,21931,2010-12-01,10,19.5
536378,21929,2010-12-01,10,19.5
536380,22961,2010-12-01,24,34.8
536381,22139,2010-12-01,23,97.75
536381,84854,2010-12-01,5,24.75
536381,22411,2010-12-01,10,19.5
536381,82567,2010-12-01,2,4.2
536381,21672,2010-12-01,6,7.5
536381,22774,2010-12-01,24,30.0
536381,22771,2010-12-01,24,30.0
536381,71270,2010-12-01,1,1.25
536381,22262,2010-12-01,1,0.85
536381,22637,2010-12-01,1,2.55
536381,21934,2010-12-01,10,16.5
536381,21169,2010-12-01,3,5.07
536381,21166,2010-12-01,1,1.95
536381,21175,2010-12-01,2,4.2
536381,37444A,2010-12-01,1,2.95
536381,37444C,2010-12-01,1,2.95
536381,22086,2010-12-01,4,11.8
536381,22083,2010-12-01,1,2.95
536381,84971S,2010-12-01,6,5.1
536381,71270,2010-12-01,3,3.75
536381,47580,2010-12-01,2,5.1
536381,22261,2010-12-01,1,0.85
536381,84832,2010-12-01,1,0.85
536381,22644,2010-12-01,1,1.45
536381,21533,2010-12-01,1,4.95
536381,21557,2010-12-01,2,5.9
536381,15056BL,2010-12-01,2,11.9
536381,15056N,2010-12-01,2,11.9
536381,22646,2010-12-01,4,5.8
536381,22176,2010-12-01,1,2.95
536381,22438,2010-12-01,1,1.95
536381,21731,2010-12-01,2,3.3
536381,22778,2010-12-01,3,11.850000000000001
536381,21523,2010-12-01,10,67.5
536382,10002,2010-12-01,12,10.2
536382,21912,2010-12-01,8,30.0
536382,21832,2010-12-01,12,19.799999999999997
